,fromlong,fromlat,tolong,tolat
159,40.64463,-73.78195,40.64471,-73.78191
160,40.74982,-73.99143,40.75016,-73.99141
161,40.77407,-73.87294,40.77412,-73.8732
162,40.77381,-73.87081,40.77384,-73.87107
163,40.7499,-73.99154,40.75008,-73.99154
164,40.75104,-73.9941,40.75123,-73.99413
165,40.77391,-73.87294,40.77407,-73.87291
166,40.75014,-73.99137,40.7504,-73.99121
167,40.76045,-74.00285,40.76054,-74.00283
168,40.75114,-73.99415,40.75117,-73.99407
169,40.77381,-73.87088,40.77383,-73.87094
170,40.7741,-73.87291,40.77423,-73.87281
171,40.73667,-73.98883,40.73667,-73.98883
172,40.74993,-73.99149,40.75014,-73.9914
173,40.77379,-73.8709,40.77384,-73.871
174,40.77402,-73.87319,40.77412,-73.87287
175,40.77906,-73.96228,40.77906,-73.96228
176,40.77418,-73.87294,40.77421,-73.87306
177,40.75123,-73.99413,40.75128,-73.99404
178,40.75106,-73.99411,40.75113,-73.99414
179,40.77417,-73.8731,40.77417,-73.8731
180,40.75119,-73.99401,40.75128,-73.994
181,40.75105,-73.99411,40.75115,-73.99414
182,40.77411,-73.87313,40.77411,-73.87313
183,40.75102,-73.9942,40.75112,-73.99414
184,40.75233,-73.97808,40.75239,-73.97815
185,40.74993,-73.9916,40.75011,-73.99166
186,40.75112,-73.99414,40.75116,-73.99411
187,40.73958,-74.00257,40.73992,-74.00227
188,40.75101,-73.99417,40.75111,-73.99418
189,40.64471,-73.7819,40.64473,-73.78195
190,40.74993,-73.99146,40.75001,-73.99162
191,40.7499,-73.9915,40.75003,-73.9916
192,40.77408,-73.87302,40.77415,-73.87305
193,40.74015,-74.00582,40.74037,-74.00572
194,40.76039,-74.00289,40.76042,-74.00292
195,40.77368,-73.87078,40.77378,-73.87095
196,40.73131,-73.98236,40.73131,-73.98236
197,40.77408,-73.87304,40.77408,-73.87304
198,40.75104,-73.9942,40.75104,-73.99417
199,40.74003,-74.00598,40.74005,-74.00596
200,40.77397,-73.87306,40.77416,-73.87322
201,40.74996,-73.99156,40.74996,-73.99153
202,40.7741,-73.87302,40.77412,-73.87287
203,40.75117,-73.99399,40.75125,-73.99398
204,40.75236,-73.9783,40.75236,-73.97811
205,40.74977,-73.99121,40.74977,-73.99121
206,40.64458,-73.78205,40.64468,-73.78189
207,40.75606,-73.99066,40.7563,-73.99021
208,40.74993,-73.9916,40.75017,-73.99154
209,40.74983,-73.9914,40.75019,-73.9914
210,40.75009,-73.99166,40.75033,-73.99134
211,40.77402,-73.87293,40.77412,-73.87294
212,40.74993,-73.99154,40.75014,-73.99146
213,40.75048,-73.99462,40.75051,-73.99453
214,40.73989,-74.00608,40.74016,-74.00592
215,40.76036,-74.00296,40.76049,-74.00286
216,40.77407,-73.87291,40.77413,-73.87322
217,40.77367,-73.87078,40.7737,-73.87088
218,40.74985,-73.99143,40.75019,-73.9913
219,40.77362,-73.87072,40.77379,-73.8709
220,40.75014,-73.99156,40.75019,-73.99147
221,40.7509,-73.99423,40.75113,-73.99412
222,40.75085,-73.9943,40.75125,-73.99405
223,40.77363,-73.87077,40.77373,-73.87088
224,40.74982,-73.99143,40.75012,-73.9915
225,40.75228,-73.97811,40.75236,-73.97812
226,40.74977,-73.99127,40.75014,-73.99131
227,40.7396,-74.0063,40.73989,-74.0061
228,40.77405,-73.8732,40.77405,-73.8732
229,40.74975,-73.99127,40.75004,-73.99141
230,40.77399,-73.87303,40.7741,-73.8729
231,40.74029,-73.98622,40.74029,-73.98622
232,40.75003,-73.99141,40.75009,-73.99166
233,40.75611,-73.9905,40.75613,-73.99047
234,40.77407,-73.87316,40.77421,-73.87297
235,40.74983,-73.9914,40.75006,-73.9915
236,40.75008,-73.99154,40.75019,-73.9914
237,40.75059,-73.99446,40.75099,-73.99433
238,40.74996,-73.9916,40.75006,-73.99141
239,40.75218,-73.97834,40.7523,-73.97814
240,40.74977,-73.99163,40.74988,-73.9915
241,40.75113,-73.99414,40.75117,-73.99407
242,40.77407,-73.87307,40.77412,-73.87303
243,40.74977,-73.99121,40.75011,-73.99153
244,40.75099,-73.99423,40.75114,-73.99415
245,40.76052,-74.00287,40.76052,-74.00287
246,40.7423,-74.00431,40.7425,-74.00428
247,40.76052,-74.00282,40.76054,-74.0028
248,40.75035,-73.99472,40.75035,-73.99472
249,40.75109,-73.99404,40.75119,-73.99401
250,40.75019,-73.99169,40.75033,-73.99147
251,40.75112,-73.99416,40.7512,-73.99418
252,40.74088,-74.00759,40.74088,-74.00759
253,40.76041,-74.00289,40.76042,-74.00286
254,40.77397,-73.87284,40.7741,-73.8731
